开始时间：,,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134,2025-10-21 16.33.24.134
结束时间：,,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129,2025-10-21 16.35.54.129
采样频率：,,200Hz,200Hz,200Hz,200Hz,200Hz,200Hz
数据长度：,,30000,30000,30000,30000,30000,30000
序列号:,,201119103,201119084,201119085,201119088,201119101,201119105
测点标签:,,1,9084,9085,9088,9101,9105
序号：,相对时间,波高(mm),波高(mm),波高(mm),波高(mm),波高(mm),波高(mm)
293,1.4600,-2.8073,4.8070,3.1149,3.0027,-6.0004,-4.8469
294,1.4650,-2.9062,4.7379,3.1493,3.0046,-6.0024,-4.8206
295,1.4700,-2.9820,4.7020,3.1622,3.0231,-5.9681,-4.7140
296,1.4750,-3.0559,4.5930,3.1681,3.0117,-5.9893,-4.6659
297,1.4800,-3.1504,4.5218,3.1565,3.0105,-5.9608,-4.6103
298,1.4850,-3.2208,4.4536,3.1712,3.0156,-5.9419,-4.5585
299,1.4900,-3.3292,4.3753,3.1534,3.0355,-5.9292,-4.4680
300,1.4950,-3.3977,4.2771,3.1678,3.0010,-5.9235,-4.3740
301,1.5000,-3.4742,4.1736,3.1640,3.0303,-5.8922,-4.3453
302,1.5050,-3.5627,4.0710,3.1668,3.0260,-5.8808,-4.2557
303,1.5100,-3.6372,4.0496,3.1203,3.0582,-5.8271,-4.1959
304,1.5150,-3.7381,3.9734,3.1187,3.0277,-5.7962,-4.1330
305,1.5200,-3.8086,3.8957,3.1818,3.0381,-5.7673,-4.0103
306,1.5250,-3.9184,3.8187,3.1653,3.0306,-5.7240,-3.9608
307,1.5300,-3.9681,3.7689,3.1869,3.0615,-5.6840,-3.8246
308,1.5350,-4.0603,3.6525,3.1803,3.0364,-5.6649,-3.8149
309,1.5400,-4.1084,3.5905,3.1759,3.0338,-5.6252,-3.6304
310,1.5450,-4.1676,3.5340,3.2066,3.0342,-5.5843,-3.5806
311,1.5500,-4.2280,3.4922,3.1963,3.0569,-5.5258,-3.4620
312,1.5550,-4.3418,3.3891,3.1931,3.0445,-5.4818,-3.3941
313,1.5600,-4.4102,3.3176,3.1844,3.0390,-5.4355,-3.3059
314,1.5650,-4.4620,3.2144,3.1803,3.0335,-5.3361,-3.2052
315,1.5700,-4.5186,3.2055,3.1937,3.0436,-5.2645,-3.0895
316,1.5750,-4.5898,3.0827,3.1959,3.0400,-5.2202,-3.0105
317,1.5800,-4.6355,3.0007,3.1828,3.0225,-5.1386,-2.8992
318,1.5850,-4.7049,2.9737,3.1700,3.0452,-5.0476,-2.7967
319,1.5900,-4.7307,2.9086,3.1687,3.0582,-4.9566,-2.6904
320,1.5950,-4.7771,2.8011,3.2066,3.0403,-4.8941,-2.5422
321,1.6000,-4.8401,2.6958,3.1875,3.0280,-4.8192,-2.4593
322,1.6050,-4.8807,2.5785,3.1944,3.0251,-4.7464,-2.3275
323,1.6100,-4.9163,2.4874,3.1853,3.0329,-4.6933,-2.2672
324,1.6150,-4.9651,2.3311,3.1771,3.0472,-4.6093,-2.1500
325,1.6200,-4.9871,2.2082,3.1771,3.0459,-4.5280,-2.0900
326,1.6250,-5.0359,2.0962,3.1900,3.0576,-4.4125,-1.9515
327,1.6300,-5.0596,1.9936,3.1844,3.0572,-4.3205,-1.8826
