开始时间：,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061,2025-10-21 14.40.19.061
结束时间：,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056,2025-10-21 14.42.49.056
采样频率：,200Hz,200Hz,200Hz,200Hz,200Hz,200Hz
数据长度：,30000,30000,30000,30000,30000,30000
序列号:,201119103,201119084,201119085,201119088,201119101,201119105
测点标签:,1,9084,9085,9088,9101,9105
序号：,波高(mm),波高(mm),波高(mm),波高(mm),波高(mm),波高(mm)
1364,-1.6829,-4.3528,-6.3126,-3.8021,-5.1228,2.1337
1365,-1.5298,-4.2914,-6.3658,-3.9220,-5.2018,2.0001
1366,-1.4068,-4.2024,-6.4243,-4.0399,-5.3086,1.9255
1367,-1.2503,-4.1330,-6.4937,-4.1093,-5.3690,1.7691
1368,-1.0725,-4.0087,-6.5332,-4.1893,-5.4674,1.6229
1369,-0.9211,-3.9139,-6.5598,-4.2945,-5.5111,1.4923
1370,-0.7564,-3.8421,-6.6133,-4.3900,-5.5944,1.3335
1371,-0.5687,-3.7622,-6.6108,-4.4517,-5.6236,1.1780
1372,-0.3950,-3.6388,-6.6242,-4.5004,-5.6636,1.0280
1373,-0.2090,-3.5207,-6.6264,-4.5530,-5.7223,0.8927
1374,-0.1016,-3.4590,-6.6251,-4.5904,-5.7428,0.6645
1375,0.0535,-3.2665,-6.5848,-4.6397,-5.7455,0.5404
1376,0.2053,-3.1468,-6.5569,-4.6745,-5.7647,0.3134
1377,0.3655,-3.0062,-6.4831,-4.6901,-5.7687,0.1857
1378,0.4939,-2.8982,-6.4130,-4.7015,-5.7368,-0.0460
1379,0.6250,-2.7474,-6.3192,-4.6979,-5.7180,-0.1676
1380,0.7412,-2.6164,-6.2181,-4.7047,-5.6686,-0.4098
1381,0.8737,-2.4411,-6.1212,-4.6868,-5.6159,-0.5544
1382,0.9533,-2.3223,-5.9757,-4.6625,-5.5605,-0.7782
1383,1.0935,-2.1448,-5.8637,-4.5927,-5.4993,-0.9041
1384,1.2131,-1.9705,-5.7211,-4.5131,-5.4436,-1.1042
1385,1.2680,-1.7851,-5.5684,-4.4342,-5.3569,-1.2395
1386,1.3689,-1.5895,-5.4424,-4.3702,-5.2652,-1.4512
1387,1.4512,-1.4161,-5.2907,-4.2386,-5.1769,-1.5825
1388,1.5454,-1.2408,-5.1255,-4.1107,-5.0463,-1.7813
1389,1.6027,-1.0397,-4.9744,-3.9583,-4.9563,-1.9204
1390,1.6735,-0.7987,-4.8280,-3.8057,-4.8297,-2.1061
1391,1.7219,-0.5823,-4.6303,-3.6728,-4.7279,-2.2587
1392,1.7564,-0.3929,-4.4323,-3.5419,-4.5375,-2.3846
1393,1.8296,-0.1758,-4.2034,-3.3971,-4.4078,-2.5665
1394,1.8852,0.0056,-4.0122,-3.2973,-4.2816,-2.6740
1395,1.8869,0.1983,-3.7576,-3.1554,-4.1513,-2.8690
1396,1.9502,0.3817,-3.5465,-3.0229,-4.0075,-2.9510
1397,1.9844,0.5892,-3.3160,-2.8878,-3.8729,-3.1314
1398,2.0275,0.8204,-3.0532,-2.7117,-3.7207,-3.2190
1399,2.0678,1.1160,-2.8581,-2.5344,-3.5579,-3.4052
1400,2.0762,1.4012,-2.6028,-2.3742,-3.4027,-3.4322
1401,2.1308,1.6607,-2.3720,-2.2060,-3.2499,-3.6723
1402,2.1230,1.8587,-2.2119,-2.0387,-3.0967,-3.7212
1403,2.1562,2.1104,-1.9682,-1.8721,-2.9198,-3.8688
1404,2.1667,2.3232,-1.7139,-1.7207,-2.7266,-3.9368
1405,2.1735,2.5301,-1.4887,-1.5014,-2.5527,-4.0677
1406,2.1928,2.7818,-1.2317,-1.3442,-2.3801,-4.1675
1407,2.2490,3.0091,-1.0133,-1.1636,-2.1534,-4.2235
1408,2.2588,3.2059,-0.8029,-0.9902,-1.9522,-4.2756
1409,2.2409,3.3508,-0.5877,-0.8320,-1.7276,-4.4018
1410,2.2680,3.5147,-0.3910,-0.6868,-1.5502,-4.4340
1411,2.2602,3.6686,-0.2039,-0.5022,-1.3400,-4.5910
1412,2.2500,3.8454,-0.0147,-0.3574,-1.1318,-4.6223
1413,2.2890,4.0063,0.1179,-0.1514,-0.9259,-4.7403
1414,2.2839,4.1543,0.2589,-0.0211,-0.7546,-4.7500
1415,2.2893,4.3216,0.3943,0.1530,-0.5165,-4.8481
1416,2.2788,4.4715,0.5320,0.2959,-0.3379,-4.8692
1417,2.3117,4.6462,0.6627,0.4180,-0.1189,-4.9319
1418,2.3181,4.8181,0.7806,0.5119,0.0668,-4.9225
1419,2.3198,4.9118,0.9010,0.6341,0.2690,-5.0232
1420,2.3202,5.0782,1.0211,0.7637,0.4510,-4.9863
1421,2.2998,5.2281,1.1249,0.8329,0.6535,-5.0188
1422,2.3191,5.3487,1.2272,0.9089,0.8352,-5.0086
1423,2.3425,5.4823,1.2988,0.9677,1.0152,-5.0065
1424,2.3577,5.6134,1.3926,1.0398,1.1673,-5.0402
1425,2.3659,5.7353,1.4702,1.1201,1.3614,-4.9855
1426,2.3571,5.8084,1.5537,1.1259,1.4927,-5.0071
1427,2.3442,5.9211,1.6150,1.1328,1.6425,-4.9418
1428,2.3310,5.9644,1.6831,1.2097,1.7728,-4.9298
1429,2.3242,6.0614,1.7498,1.2211,1.9380,-4.8176
1430,2.3056,6.1283,1.7911,1.2604,2.0573,-4.7896
1431,2.3540,6.2149,1.8358,1.2890,2.1721,-4.6947
1432,2.3537,6.2828,1.8711,1.2994,2.2644,-4.6346
1433,2.3184,6.3728,1.9274,1.3273,2.3958,-4.5169
1434,2.3496,6.4308,1.9868,1.3364,2.4730,-4.4823
1435,2.3391,6.4600,1.9965,1.3644,2.5875,-4.3558
1436,2.3510,6.5118,2.0309,1.3835,2.6711,-4.2601
1437,2.3401,6.5923,2.0562,1.4128,2.7584,-4.1529
1438,2.3361,6.6248,2.0897,1.4144,2.8169,-4.0574
1439,2.3523,6.6378,2.1085,1.4079,2.9129,-3.9693
1440,2.3178,6.6755,2.1288,1.4248,2.9686,-3.7892
1441,2.3130,6.7431,2.1488,1.4518,3.0520,-3.6723
1442,2.3310,6.7419,2.1538,1.4407,3.1409,-3.5273
1443,2.3330,6.7683,2.1895,1.4739,3.1688,-3.4290
1444,2.3080,6.7720,2.2057,1.4800,3.1863,-3.2872
1445,2.3459,6.8180,2.2167,1.4703,3.2162,-3.1920
1446,2.3344,6.7649,2.2436,1.4830,3.2400,-3.0078
1447,2.3029,6.8263,2.2564,1.5008,3.2618,-2.9127
1448,2.3032,6.8334,2.2633,1.5155,3.3129,-2.7243
1449,2.3188,6.8514,2.2961,1.5297,3.3619,-2.6160
1450,2.2954,6.8330,2.2780,1.5362,3.3750,-2.4136
1451,2.2710,6.8088,2.2561,1.5278,3.3999,-2.2962
1452,2.2720,6.8023,2.2508,1.5466,3.4106,-2.0950
1453,2.2378,6.7716,2.2852,1.5544,3.4452,-1.9676
1454,2.2273,6.7694,2.2942,1.5437,3.4905,-1.7426
1455,2.1887,6.7379,2.2770,1.5651,3.5103,-1.5842
1456,2.1626,6.7084,2.2945,1.5911,3.5382,-1.3997
1457,2.1646,6.7246,2.3002,1.6074,3.5553,-1.1686
1458,2.1328,6.6862,2.2999,1.6093,3.5644,-1.0319
1459,2.0976,6.6503,2.3074,1.5947,3.5728,-0.8274
1460,2.0508,6.6159,2.3146,1.5908,3.5872,-0.6948
1461,2.0278,6.5942,2.3221,1.5967,3.5977,-0.4285
1462,2.0224,6.5650,2.3092,1.6181,3.6195,-0.3008
1463,1.9926,6.5008,2.3021,1.6145,3.6178,-0.0313
1464,1.9404,6.4348,2.3039,1.6090,3.6269,0.0867
1465,1.9194,6.3804,2.2758,1.6155,3.6410,0.3409
1466,1.8686,6.3473,2.3233,1.6304,3.6353,0.4949
1467,1.8167,6.2850,2.3124,1.6548,3.6275,0.7395
1468,1.7720,6.2131,2.3071,1.6366,3.6652,0.8804
1469,1.7192,6.1557,2.3039,1.6408,3.6591,1.0720
1470,1.6426,6.1013,2.3011,1.6438,3.6587,1.2243
1471,1.5529,5.9892,2.2576,1.6613,3.6537,1.3877
1472,1.4939,5.9085,2.3089,1.6525,3.6712,1.5731
1473,1.3859,5.8381,2.2921,1.6311,3.6776,1.6873
1474,1.3273,5.7273,2.3105,1.6314,3.6870,1.8803
1475,1.2134,5.6309,2.2886,1.6353,3.6964,1.9902
1476,1.1118,5.5520,2.2886,1.6376,3.6695,2.1671
1477,0.9831,5.4832,2.2805,1.6399,3.6772,2.1803
1478,0.8364,5.3502,2.2795,1.6171,3.6732,2.3010
1479,0.6921,5.2191,2.2670,1.6412,3.6725,2.3270
1480,0.5410,5.1086,2.2598,1.6298,3.6806,2.4588
1481,0.3937,4.9949,2.2689,1.6314,3.6900,2.4958
1482,0.2555,4.8442,2.2695,1.6223,3.6501,2.6158
1483,0.0817,4.6738,2.2645,1.5898,3.6557,2.6530
1484,-0.1057,4.5307,2.2705,1.6174,3.6725,2.7397
1485,-0.2645,4.3993,2.2542,1.6145,3.6457,2.7614
1486,-0.4526,4.2522,2.2439,1.6168,3.6735,2.8115
1487,-0.6487,4.1119,2.2473,1.5918,3.6581,2.8147
1488,-0.8005,3.9612,2.2420,1.5882,3.6675,2.8346
1489,-0.9929,3.8046,2.2201,1.6103,3.6685,2.9087
1490,-1.1616,3.6609,2.2179,1.5837,3.6739,2.8973
1491,-1.3252,3.5169,2.2114,1.5941,3.6289,2.9665
1492,-1.4661,3.3305,2.1967,1.5817,3.6410,2.9366
1493,-1.6572,3.1675,2.1488,1.6019,3.6111,3.0130
1494,-1.8235,2.9468,2.1332,1.5811,3.6044,2.9846
1495,-1.9996,2.7481,2.1154,1.5840,3.6030,3.0353
1496,-2.1599,2.5753,2.0841,1.5642,3.5835,3.0561
1497,-2.3258,2.3376,2.0381,1.5508,3.5926,3.0385
1498,-2.5213,2.1184,2.0350,1.5385,3.5577,3.0927
1499,-2.6856,1.8973,1.9896,1.5372,3.5399,3.0868
1500,-2.8489,1.6407,1.9430,1.5450,3.5110,3.1217
1501,-3.0020,1.4436,1.9096,1.5340,3.4929,3.1009
1502,-3.1785,1.1829,1.8583,1.5323,3.4781,3.1533
1503,-3.3577,0.9536,1.8164,1.5041,3.4536,3.0904
1504,-3.4990,0.7304,1.7567,1.5096,3.4136,3.1114
1505,-3.6399,0.5536,1.7160,1.5080,3.3824,3.1387
1506,-3.7645,0.3092,1.6444,1.4921,3.3562,3.0991
1507,-3.9014,0.0977,1.5981,1.4664,3.3572,3.1433
1508,-4.0531,-0.0899,1.5021,1.4810,3.2961,3.0998
1509,-4.1890,-0.2474,1.4617,1.4794,3.2712,3.1852
1510,-4.2825,-0.4352,1.3723,1.4524,3.2162,3.1402
1511,-4.3885,-0.6652,1.2756,1.4446,3.2014,3.1782
1512,-4.4752,-0.8663,1.1875,1.4177,3.1732,3.1642
1513,-4.5884,-1.0763,1.1196,1.4111,3.1352,3.1689
1514,-4.6757,-1.2506,1.0130,1.3871,3.0620,3.1876
1515,-4.7432,-1.4379,0.8897,1.3819,3.0318,3.1481
1516,-4.7994,-1.6644,0.7484,1.3608,2.9512,3.1949
1517,-4.8929,-1.8204,0.6371,1.3179,2.8793,3.1460
1518,-4.9285,-2.0153,0.4694,1.3059,2.7977,3.1941
1519,-5.0186,-2.1814,0.3418,1.2601,2.7074,3.1571
1520,-5.0508,-2.3358,0.2264,1.2143,2.6255,3.2069
1521,-5.0945,-2.5037,0.0913,1.1922,2.5190,3.1768
1522,-5.1192,-2.6409,-0.0923,1.1211,2.3961,3.1741
1523,-5.1571,-2.8162,-0.2646,1.0522,2.2991,3.1715
1524,-5.1334,-2.9531,-0.4329,0.9917,2.2060,3.1322
1525,-5.1456,-3.1103,-0.6440,0.9011,2.0522,3.1741
1526,-5.1602,-3.2201,-0.8563,0.8332,1.9229,3.1481
1527,-5.1676,-3.3506,-1.0590,0.7491,1.7610,3.1911
1528,-5.1267,-3.4420,-1.2636,0.6227,1.6391,3.1642
1529,-5.1019,-3.5342,-1.4956,0.5379,1.4696,3.1712
1530,-5.0521,-3.6453,-1.7358,0.4249,1.3312,3.1563
1531,-5.0006,-3.7770,-1.9548,0.2904,1.1609,3.1463
1532,-4.9183,-3.8455,-2.1828,0.1923,0.9893,3.1691
1533,-4.8529,-3.9234,-2.4017,0.0432,0.8177,3.1516
1534,-4.7879,-4.0281,-2.6447,-0.1166,0.6448,3.1633
1535,-4.7103,-4.1140,-2.8431,-0.2775,0.4393,3.1202
1536,-4.6202,-4.1855,-3.0492,-0.4243,0.2579,3.1729
1537,-4.4891,-4.2288,-3.3000,-0.5877,0.0614,3.1252
1538,-4.3851,-4.3102,-3.4692,-0.7767,-0.1179,3.1366
1539,-4.2909,-4.3780,-3.6491,-0.9177,-0.3124,3.1123
1540,-4.1798,-4.4511,-3.8458,-1.0720,-0.5226,3.1202
1541,-4.0301,-4.4903,-4.0091,-1.2325,-0.7100,3.1100
1542,-3.8936,-4.5465,-4.2184,-1.4160,-0.8886,3.0930
1543,-3.7435,-4.5882,-4.3982,-1.6197,-1.0834,3.0710
1544,-3.6084,-4.6346,-4.5437,-1.7720,-1.2517,3.0476
1545,-3.4705,-4.6402,-4.7170,-1.9422,-1.4639,3.0699
1546,-3.3140,-4.6791,-4.8690,-2.0731,-1.6134,3.0283
1547,-3.1710,-4.7043,-5.0520,-2.2329,-1.8165,3.0687
1548,-3.0332,-4.7073,-5.1608,-2.3879,-1.9845,2.9943
1549,-2.8838,-4.7282,-5.2466,-2.5500,-2.1503,3.0256
1550,-2.7327,-4.7457,-5.3701,-2.6864,-2.3230,2.9776
1551,-2.5908,-4.7359,-5.4718,-2.7972,-2.4852,2.9512
1552,-2.4434,-4.7135,-5.5960,-2.9264,-2.6437,2.9474
1553,-2.2971,-4.7488,-5.6779,-3.0479,-2.7955,2.8877
1554,-2.1291,-4.7325,-5.7787,-3.1879,-2.9352,2.9023
1555,-1.9515,-4.7196,-5.8791,-3.3006,-3.0749,2.8074
1556,-1.8201,-4.7301,-5.9441,-3.3876,-3.2066,2.7883
1557,-1.6826,-4.6638,-6.0386,-3.4867,-3.3396,2.6993
1558,-1.4952,-4.6180,-6.1299,-3.5650,-3.4608,2.6727
1559,-1.3709,-4.5953,-6.1568,-3.7202,-3.5921,2.6088
1560,-1.2452,-4.5327,-6.2469,-3.7927,-3.7090,2.4817
1561,-1.1345,-4.4679,-6.2554,-3.8924,-3.8060,2.4539
1562,-0.9908,-4.3884,-6.2876,-3.9804,-3.9437,2.3165
1563,-0.8184,-4.3279,-6.3264,-4.0821,-4.0216,2.2667
1564,-0.6622,-4.2420,-6.3348,-4.1321,-4.1392,2.1021
1565,-0.5284,-4.1926,-6.3445,-4.2035,-4.2413,2.0186
1566,-0.3431,-4.1088,-6.3693,-4.2604,-4.3343,1.8470
1567,-0.1887,-3.9971,-6.3520,-4.3072,-4.4166,1.7219
1568,-0.0450,-3.8764,-6.3161,-4.3712,-4.5224,1.6138
1569,0.0732,-3.8064,-6.2804,-4.4124,-4.5775,1.4176
1570,0.1955,-3.7137,-6.2400,-4.4419,-4.6460,1.2978
1571,0.3147,-3.6333,-6.1762,-4.4747,-4.7115,1.0676
1572,0.4258,-3.4903,-6.0893,-4.4887,-4.7756,0.9452
1573,0.5434,-3.3831,-5.9961,-4.4728,-4.8223,0.6892
1574,0.6748,-3.2554,-5.9025,-4.5014,-4.8706,0.5398
1575,0.8130,-3.0774,-5.8074,-4.4819,-4.9365,0.3482
1576,0.8994,-2.9522,-5.7130,-4.4484,-4.9704,0.1221
1577,1.0078,-2.8408,-5.6028,-4.3796,-5.0070,-0.0196
1578,1.0983,-2.6836,-5.4905,-4.3400,-5.0298,-0.2622
1579,1.1721,-2.5580,-5.3576,-4.2591,-5.0758,-0.4288
1580,1.2565,-2.3963,-5.2240,-4.1782,-5.0587,-0.6994
1581,1.3483,-2.2554,-5.1030,-4.0795,-5.1027,-0.8154
1582,1.4035,-2.1316,-4.9782,-3.9684,-5.0684,-1.0541
1583,1.4814,-1.9398,-4.8133,-3.8687,-5.0752,-1.2993
1584,1.5508,-1.7537,-4.6409,-3.6904,-5.0453,-1.5157
1585,1.6250,-1.5499,-4.4802,-3.5910,-5.0100,-1.7318
1586,1.6626,-1.3525,-4.2903,-3.4984,-4.9744,-1.8575
1587,1.7148,-1.1726,-4.1026,-3.3789,-4.9442,-2.0695
1588,1.7619,-0.9798,-3.8715,-3.2717,-4.8683,-2.2417
1589,1.7775,-0.7957,-3.6863,-3.1398,-4.8025,-2.4376
1590,1.8344,-0.6007,-3.4893,-3.0158,-4.7316,-2.6667
1591,1.8750,-0.4291,-3.3285,-2.8657,-4.6570,-2.8248
1592,1.8886,-0.2234,-3.1042,-2.7215,-4.5684,-3.0289
1593,1.9485,-0.0423,-2.8937,-2.5464,-4.4814,-3.1326
1594,1.9448,0.1585,-2.6923,-2.3366,-4.4203,-3.3103
1595,1.9990,0.3731,-2.4743,-2.2303,-4.3464,-3.4635
1596,2.0447,0.5370,-2.2419,-2.0627,-4.2483,-3.5883
1597,2.0420,0.7590,-2.0136,-1.9039,-4.1197,-3.7745
1598,2.0722,1.0393,-1.7637,-1.7454,-4.0092,-3.8545
1599,2.1108,1.2434,-1.5576,-1.5840,-3.9088,-4.0187
1600,2.0894,1.5385,-1.3458,-1.4605,-3.8050,-4.1025
1601,2.1426,1.7776,-1.1322,-1.2893,-3.6932,-4.2926
1602,2.1352,2.0321,-0.9436,-1.1276,-3.5572,-4.3549
1603,2.1718,2.2424,-0.7434,-0.9197,-3.4296,-4.4958
1604,2.1803,2.5138,-0.5921,-0.7897,-3.3107,-4.5740
1605,2.1535,2.6572,-0.3894,-0.6618,-3.1706,-4.6627
1606,2.2141,2.8540,-0.2068,-0.5396,-3.0336,-4.8024
1607,2.2094,3.0287,-0.0591,-0.3824,-2.9036,-4.8478
1608,2.2280,3.2391,0.1051,-0.2031,-2.7891,-4.9881
1609,2.2453,3.4408,0.2255,-0.0358,-2.6447,-5.0112
1610,2.2720,3.5574,0.3762,0.0893,-2.4909,-5.0874
1611,2.2785,3.6824,0.4835,0.2293,-2.3438,-5.1313
1612,2.2826,3.8436,0.5901,0.3602,-2.1779,-5.1418
1613,2.2788,3.9928,0.6936,0.4717,-1.9751,-5.2525
1614,2.3042,4.1089,0.8150,0.5935,-1.8048,-5.2279
1615,2.3063,4.2835,0.9260,0.7013,-1.6527,-5.3503
1616,2.2924,4.4343,1.0367,0.7585,-1.4881,-5.3014
1617,2.2907,4.6176,1.1287,0.7923,-1.3111,-5.3371
1618,2.2832,4.7665,1.2241,0.9024,-1.1382,-5.3532
1619,2.2856,4.8669,1.3004,0.9573,-0.9642,-5.3670
1620,2.2852,5.0159,1.3851,1.0145,-0.7782,-5.3667
1621,2.3005,5.1479,1.4639,1.0856,-0.5897,-5.3079
1622,2.3039,5.2603,1.5021,1.1331,-0.4178,-5.3345
1623,2.3442,5.4009,1.5831,1.1509,-0.2563,-5.2373
1624,2.3005,5.5265,1.6253,1.2049,-0.0806,-5.2429
1625,2.2961,5.6432,1.6916,1.2123,0.0913,-5.1152
1626,2.2883,5.7479,1.7501,1.2383,0.2589,-5.0824
1627,2.2842,5.7945,1.7867,1.2685,0.4433,-5.0177
1628,2.2937,5.9057,1.8161,1.3062,0.6260,-4.9023
1629,2.2944,5.9972,1.8658,1.3306,0.7825,-4.8135
1630,2.3012,6.0989,1.8936,1.3468,0.9252,-4.6709
1631,2.3036,6.1606,1.9346,1.3322,1.0753,-4.5799
1632,2.2866,6.2318,1.9665,1.3562,1.2157,-4.4405
1633,2.2981,6.2994,1.9918,1.3627,1.3433,-4.3561
1634,2.3042,6.3786,2.0406,1.3813,1.4759,-4.2129
1635,2.2846,6.4523,2.0322,1.3839,1.6237,-4.1230
1636,2.2880,6.4947,2.0794,1.4128,1.7872,-3.9505
1637,2.2758,6.5585,2.0975,1.4310,1.9501,-3.8729
1638,2.2849,6.6079,2.1422,1.4297,2.0861,-3.6966
1639,2.2941,6.6497,2.1391,1.4427,2.1784,-3.5845
1640,2.2582,6.6964,2.1560,1.4355,2.2608,-3.4369
1641,2.2565,6.7241,2.1710,1.4297,2.3709,-3.2679
1642,2.2632,6.7768,2.1876,1.4560,2.4821,-3.1016
1643,2.2375,6.7913,2.2048,1.4326,2.5587,-2.9399
1644,2.2422,6.8238,2.1976,1.4625,2.6627,-2.8166
1645,2.2673,6.8220,2.2220,1.4628,2.7571,-2.6025
1646,2.2402,6.8420,2.2039,1.4719,2.8246,-2.4452
1647,2.2094,6.8232,2.2548,1.4836,2.8867,-2.2387
1648,2.2300,6.8211,2.2511,1.5018,2.9727,-2.0809
1649,2.2219,6.8506,2.2645,1.4901,3.0368,-1.8832
1650,2.2053,6.8914,2.2776,1.5307,3.1070,-1.7049
1651,2.1897,6.8843,2.2805,1.5008,3.1466,-1.4878
1652,2.2023,6.8975,2.2933,1.5167,3.2064,-1.3165
1653,2.1460,6.8708,2.3061,1.5148,3.1960,-1.1036
1654,2.1118,6.8751,2.3017,1.5346,3.2323,-0.9079
1655,2.1237,6.8748,2.2902,1.5330,3.2514,-0.7152
1656,2.1311,6.8542,2.2764,1.5466,3.3028,-0.4765
1657,2.1125,6.8637,2.3014,1.5625,3.3304,-0.3321
1658,2.0590,6.8386,2.3052,1.5505,3.3626,-0.0867
1659,2.0417,6.7956,2.3061,1.5495,3.3864,0.0158
1660,2.0342,6.7842,2.2949,1.5837,3.4244,0.2457
1661,2.0071,6.7593,2.3024,1.5606,3.4445,0.3705
1662,1.9800,6.7495,2.2955,1.5811,3.4811,0.5787
1663,1.9255,6.7099,2.3039,1.5811,3.4791,0.7182
1664,1.8910,6.6844,2.3089,1.5739,3.4962,0.9337
1665,1.8456,6.6344,2.2495,1.5713,3.5295,1.0679
1666,1.8171,6.6175,2.2902,1.5707,3.5372,1.2096
1667,1.7619,6.5288,2.2849,1.5765,3.5372,1.3599
1668,1.7168,6.4618,2.2705,1.5850,3.5564,1.5084
1669,1.6762,6.3890,2.2808,1.5775,3.5580,1.6463
1670,1.5959,6.3430,2.2886,1.5905,3.6205,1.7790
1671,1.5302,6.2619,2.2908,1.5872,3.5986,1.9003
1672,1.4533,6.2481,2.2949,1.5801,3.6262,1.9794
1673,1.3838,6.1243,2.2883,1.5778,3.6238,2.1413
1674,1.3323,6.0571,2.2939,1.5941,3.6390,2.1976
1675,1.2470,5.9570,2.2883,1.5921,3.6289,2.3297
1676,1.1440,5.8474,2.2733,1.5752,3.6729,2.3739
1677,1.0569,5.7596,2.2942,1.5895,3.6853,2.4670
1678,0.9414,5.6512,2.2817,1.5885,3.6692,2.5309
1679,0.8442,5.5314,2.2789,1.5986,3.6799,2.5775
1680,0.7287,5.4218,2.2708,1.5843,3.6692,2.6551
1681,0.6274,5.2812,2.2051,1.5843,3.7125,2.7143
1682,0.4820,5.1246,2.2364,1.5720,3.7206,2.7631
1683,0.3428,4.9925,2.2270,1.5846,3.7249,2.7878
1684,0.1880,4.9109,2.2214,1.5931,3.7041,2.8531
1685,0.0437,4.7322,2.2014,1.5788,3.7065,2.8657
1686,-0.1030,4.5921,2.1976,1.5905,3.7199,2.9210
1687,-0.2432,4.3993,2.1770,1.6246,3.7048,2.9073
1688,-0.3723,4.2633,2.1654,1.6171,3.7038,2.9401
1689,-0.5142,4.1202,2.1422,1.6145,3.7004,2.9386
1690,-0.6931,3.9750,2.1197,1.6142,3.7101,3.0236
1691,-0.8682,3.8337,2.1082,1.5502,3.7007,3.0098
1692,-1.0203,3.6376,2.0935,1.5794,3.7095,3.0189
1693,-1.1443,3.4816,2.0634,1.5541,3.6957,3.0599
1694,-1.3096,3.2587,2.0247,1.5180,3.7148,3.0581
1695,-1.4519,3.0229,1.9868,1.4901,3.6695,3.0980
1696,-1.5904,2.8292,1.9615,1.5255,3.6903,3.0619
1697,-1.7374,2.5731,1.9421,1.5229,3.6702,3.1158
1698,-1.8719,2.3591,1.9061,1.5320,3.6581,3.0736
1699,-2.0068,2.0975,1.8774,1.5005,3.6359,3.1158
1700,-2.1738,1.8565,1.8426,1.4735,3.6212,3.1082
1701,-2.3214,1.6032,1.8051,1.4628,3.6383,3.1331
1702,-2.4454,1.3533,1.7713,1.4579,3.6154,3.1566
1703,-2.6307,1.0979,1.7044,1.4518,3.6081,3.1425
1704,-2.7625,0.8744,1.6578,1.4729,3.5819,3.1577
1705,-2.8885,0.6537,1.6019,1.4592,3.5892,3.1642
1706,-3.0000,0.4415,1.5387,1.4673,3.5617,3.1943
1707,-3.1456,0.2196,1.4927,1.4222,3.5301,3.1516
1708,-3.3042,-0.0205,1.4355,1.4375,3.5345,3.1838
1709,-3.3990,-0.2182,1.3504,1.4215,3.4999,3.1809
1710,-3.5596,-0.4297,1.2832,1.4033,3.4912,3.1621
1711,-3.7080,-0.6849,1.1943,1.3741,3.4468,3.1993
1712,-3.8685,-0.8549,1.1155,1.3887,3.4361,3.1648
1713,-3.9620,-1.0965,1.0126,1.3595,3.3901,3.1961
1714,-4.0721,-1.3010,0.9329,1.3439,3.3602,3.1639
1715,-4.2012,-1.5272,0.8522,1.3329,3.3491,3.1835
1716,-4.3252,-1.7169,0.7478,1.3241,3.3085,3.1838
1717,-4.4115,-1.9560,0.6396,1.3130,3.2796,3.1613
1718,-4.4803,-2.0985,0.5335,1.2874,3.2481,3.1882
1719,-4.6002,-2.3204,0.3809,1.2513,3.1681,3.1668
1720,-4.6822,-2.4960,0.2962,1.2256,3.1241,3.2087
1721,-4.7350,-2.7137,0.1707,1.1912,3.0778,3.1753
1722,-4.7781,-2.8383,0.0675,1.1425,3.0106,3.2128
1723,-4.8512,-2.9617,-0.0804,1.0866,2.9337,3.1899
1724,-4.8790,-3.1103,-0.1964,1.0155,2.8551,3.2069
1725,-4.9329,-3.2567,-0.3491,0.9391,2.7752,3.1861
1726,-4.9539,-3.4111,-0.5517,0.8676,2.6785,3.1686
1727,-5.0209,-3.5044,-0.7244,0.7767,2.5862,3.1943
1728,-5.0528,-3.6545,-0.8269,0.7150,2.4498,3.1674
1729,-5.0406,-3.7549,-0.9868,0.6584,2.3474,3.1782
1730,-5.0474,-3.8568,-1.1697,0.5584,2.2426,3.1536
1731,-5.0586,-3.9719,-1.3324,0.4583,2.1150,3.1686
1732,-5.0714,-4.0615,-1.5422,0.3547,1.9424,3.1621
1733,-5.0586,-4.1656,-1.7171,0.2417,1.7943,3.1674
1734,-5.0474,-4.2540,-1.9022,0.1133,1.6405,3.1785
1735,-5.0257,-4.3596,-2.0867,-0.0540,1.4612,3.1302
1736,-5.0183,-4.4047,-2.2691,-0.2001,1.2906,3.1504
1737,-4.9772,-4.5005,-2.4489,-0.3509,1.1002,3.0998
1738,-4.9149,-4.5563,-2.6257,-0.5091,0.9275,3.1577
1739,-4.8411,-4.6453,-2.8240,-0.6328,0.7358,3.0991
1740,-4.7906,-4.6766,-2.9957,-0.7758,0.5272,3.1316
1741,-4.7181,-4.7485,-3.1734,-0.9401,0.3415,3.1132
1742,-4.6497,-4.7942,-3.3294,-1.0756,0.1269,3.0965
1743,-4.5606,-4.8501,-3.4896,-1.2396,-0.0736,3.0886
1744,-4.4583,-4.8884,-3.6491,-1.3527,-0.2804,3.0909
1745,-4.3431,-4.9154,-3.8014,-1.5014,-0.4920,3.0643
1746,-4.2059,-4.9004,-3.9340,-1.6366,-0.7107,3.0391
1747,-4.0969,-4.9422,-4.0607,-1.7792,-0.9437,3.0247
1748,-3.9441,-4.9637,-4.2056,-1.9130,-1.1220,2.9937
